Unique Int,Food Type Code,Food Type,Definition
8,201-045,Chinese-Shandong,"Shandong or Lu cuisine is comprised of Jiaodong and Jinan styles, characterized by seafood dishes and soups, respectively."
8,201-046,Chinese-Northeastern,"This cuisine originated from Manchu cuisine and uses preserved foods (pickling is popular) as well as pork and chive dumplings, suan cai hot pot, cumin & caraway lamb, congee, nian doubao, sachima, and cornmeal congee."
8,201-047,Chinese-Inner Mongolian,"Historically, this food is influenced by Mongolian and Chinese cuisines. Dishes include Mongolian hot pot, hand-held mutton, roast leg of lamg and various other mutton or lamb dishes."
8,201-048,Chinese-Yunnan/Guizhou,Yunnan or Dian cuisine is typically spicy and features mushrooms. Guizhou cuisine is similar to Sichaun and Hunan cuisines and is unique in featuring a mixture of sour and spicy flavors.
8,201-049,Chinese-Taiwanese,"Common ingredients include pork, seafood, chicken, rice, and soy."
8,201-050,Chinese-Guangxi,"This cuisine specializes in rice-flour noodles, horse meat, zongzi a pyramid shaped meat dumpling wrapped in bamboo leaves and fried, and the food is slightly spicy."
8,201-051,Chinese-Jiangxi,"Jiangxi cuisine is spicy and uses chili peppers and cold or raw dishes are rarely served. Fish, fermented black beans, tofu, and tea oil (used for cooking) are used."
8,201-052,Chinese-Northwestern,"This cuisine favors beef, mutton, and lamb and is typically Halal due to the large Muslim population in this part of China."
8,201-053,Chinese-Porridge,Rice porridge or gruel is known as congee when eaten plain and served with side dishes.
8,201-054,Chinese-Islamic,"Signature dishes include mutton, kebabs, roasted fish and rice. Most of the food is Halal."
8,201-055,Chinese-Hot Pot,"Chinese Hot Pot is a cooking method which uses a metal pot placed in the center of the table. Dishes include thinly sliced meat, leaf vegetables, mushrooms, wontons, egg fumplings, and seafood. The cooked food is usually paired with dipping sauces."
9,202-000,Indian,"Indian Food should be applied to restaurants serving food from India. Indian food is famous for a great variety of spices, cooking techniques, and foods which consist of milk, rice, cottage cheese, chicken, seafood, and flat bread. Indian restaurants outside India have adapted their menu based on local tastes so dishes are different per country."
9,202-011,Indian-Tandoori,Signature dishes with chicken.
9,202-012,Indian-Punjabi,"Indian food from the Punjab region of India and eastern Pakistan consisting of whole wheat, rice, masala, ghee, and milk products."
9,202-013,Indian-Rajasthani,Indian food from the Rajasthan region consisting of food that can be eaten without heating and limited by a scarcity of water and fresh vegetables. Staples are millet bread and spicy garlic paste.
9,202-014,Indian-Mughlai,Indian food influenced from the Persian cuisine of Iran and varies from mild to spicy. Both vegetarian and non-vegetarian dishes are common.
9,202-015,Indian-Bengali,"Indian food from Bengal is characterized by the use of mustard oil, zeera, kalaunji, saunf, fenugreek, and mustard seeds."
9,202-016,Indian-Goan,"Indian food from Goa favors seafood, coconut milk, rice, and local spices."
9,202-017,Indian-Jain,"Jain cuisine is vegetarian and also excludes onions, garlic, potatoes and other root vegetables."
9,202-018,Indian-Konkani,Indian food from the Konkan region of India which is predominately non-vegetarian with an abundance use of coconut.
9,202-019,Indian-Gujarati,"Indian food from Gujarat consists of dal, bhaat, vegetables, shapatis, kachumbar, papad, and curd."
9,202-020,Indian-Parsi,Indian food influenced from the Persian cuisine of Iran and varies from mild to spicy. Both vegetarian and non-vegetarian dishes are common.
9,202-021,Indian-South Indian,"Indian food from the southern part of India which is known for its spicy food using cardamom, pepper, cinnamon, cloves, and nutmeg as seasonings."
9,202-022,Indian-Maharashtrian,"Indian food from the Maharashtra region of India consists of flat bread, vegetables, dal, and rice."
9,202-023,Indian-North Indian,"Indian food featuring potatoes, chilies, breadfruit, spices."
9,202-024,Indian-Malvani,Similar to the Konkan and Goan regions of India.
9,202-025,Indian-Hyderabadi,"Indian food from Hyderabad consists of meat rice, spices, coconut, tamarind, peanuts, and sesame seeds."
10,203-000,Japanese,"Japanese Food should be applied to restaurants serving food from Japan. Japanese food consists of Japanese rice, noodles, meat, vegetables, fish, sushi, teppenyaki. Japanese dishes can include raw fish, and grilled, boiled, steamed, or deep fried food."
10,203-026,Japanese-Sushi,"Sushi should be applied to restaurants specializing in sushi, which consists of vinegar rice topped with various fish, meat, and vegetables."
102,204-000,Southeast Asian,"Southeast Asian Food should be applied to restaurants that serve food from Southeast Asian countries for which there is not a more specific food type. Note: See also Chinese Food, Filipino Food, Indian Food, Indonesian/Malaysian Food, Japanese Food, Korean Food, Middle Eastern Food, Thai Food, Vietnamese Food for related Food Types."
11,205-000,Thai,"Thai Food should be applied to restaurants serving food from Thailand. Thai Food can be spicy, sour, sweet, salty, and bitter. Some of the most famous Thai ingredients include rice, chili, garlic, vegetables (cucumber, cabbage, string beans), nam pla (fish sauce), lime leaves. Thai food includes many different curries and noodles."
12,206-000,Vietnamese,"Vietnamese Food should be applied to restaurants serving food from Vietnam. Some of the most famous ingredients are fish sauce, soy sauce, hoisin sauce, vegetables, herbs, spices, pork, beef, and prawns."
13,207-000,Korean,"Korean Food should be applied to restaurants serving food from Korea. Some of the most important ingredients in Korean food are rice, vegetables, meat and tofu, sesame oil, soy sauce, garlic, ginger. Famous Korean dishes are kim chi, doenjang, gimbap, pajean, bulgogi, makchang, doenjang jjigae, bibimbap, japchae."
14,208-000,Pakistani,"Apply Pakistani to restaurants specializing in food from Pakistan. Pakistani food can be described as a lend of South Asian cooking traditions and is known for its richness and flavor. Typical Pakistani dishes include, chapati, roti, lentils, vegetables, and meats with the extensive use of spices, herbs, and seasonings."
15,209-000,Malaysian,"Malaysian Food should be applied to restaurants serving food from Malaysia. Malaysian food typically consists of chicken, beef, pork, duck, goose, goat, seafood (shrimps, prawns, crab, squid, cockles, snails, octopus). Typical Malaysian dishes are satay (grilled meat), ikan bakar, nasi dagang, udang galah. Note: Indonesian/Malaysian should be used in countries outside of North America and EMEA."
16,210-000,Bruneian,"Apply Bruneian Food to restaurants that serve food from Brunei. Bruneian Food typically consists of fish and rice. Due to the predominance of the Islamic religion, pork and alcohol are avoided."
17,211-000,Indonesian,"Indonesian Food should be applied to restaurants serving food from Indonesia. Typical Indonesian dishes are bakmi goreng, gado-gado, ketoprak, nasi padang, sayur asem, and babi guling. Note: Indonesian/Malaysian should be used in countries outside of North America and EMEA."
18,212-000,Filipino,"Filipino Food should be applied to restaurants serving food from the Philippines. Typical Filipino menus are lechon (roasted pig), longanisa (sausage), torta (omelette), pan de sal (bread rolls), adobo, kalderetang kambing (goat stew), kare kare, sinigang, pancit, lumpia, halo-halo."
19,250-000,Middle Eastern,"Middle Eastern Food should be applied to restaurants serving food from the Middle Eastern countries like Afghanistan, Saudi Arabia, Lebanon, Iran, Iraq, United Arab Emirates etc."
20,251-000,Azerbaijani,"Azerbaijan Food should be applied to restaurants serving food from Azerbaijan. This food combines Turkish and central Asian elements and traditionally includes breads, pancakes, thick soups and plov (rice pilaf) both savoury and sweet."
21,252-000,Turkish,"Turkish Food should be applied to restaurants serving food from Turkey. Some of the most important ingredients in Turkish food are eggplant, green pepper, onion, bean, tomato, garlic, cucumber, lemon, pistachio, almond, spices (parsley, cumin, pepper, paprika, mint, oregano, thyme). Some typical Turkish menus are Yayla, Ayrian, Patlican, Sis Kebaps, Döner, and Lahmacun."
22,253-000,Lebanese,"Lebanese food includes whole grain, fruits, vegetables, fresh fish and seafood and some poultry, which is eaten more often than red meat (usually lamb or goat).  A lot of garlic, herbs, olive oil, and lemon juice are used as seasonings. Most foods are prepared by grilling or baking."
23,254-000,Yemeni,"Yemeni Food has an Ottoman Turkish influence. Chicken and lamb are the usual meat eaten (beef is very expensive) and fish dishes are eaten in the coastal areas. Spices include aniseed, fennel seed, ginger, and cardamom. Saltah, a brown meat stew of Turkish origin, is considered the national dish and is eaten with a flat bread."
24,255-000,Burmese,"Burmese Food should be applied to restaurants serving food from Burma (now officially known as Myanmar). Burmese cuisine is characterized by extensive use of fish products like fish sauce and ngapi (fermented seafood). Popular dishes include Gyin thohk, Khauk swè thoke, Kat kyi hnyat and Kyay oh."
25,256-000,Cambodian,"Cambodian, also known as Khmer, Food should be applied to restaurants serving food from Cambodia. Some of the primary ingredients include the use of rice as a staple,  prahok (a fermented fish paste), spices (such as black pepper, kampot, wild cardamom), kroeung, fruits, vegetables, noodles, and fish.  Popular dishes include Amok trey, Kuy teav, Lok Lak, and Num banh chok"
26,257-000,Singaporean,"Singaporean Food should be applied to restaurants serving food from Singapore.  Singaporean Food is influenced by the native Malay, Chinese, Indonesian, Peranakan, and Western Traditions. Due to its wide variety of influence one will notice the multiculturalism of local food and the availability of international cuisine and styles. Popular dishes include Bak Kut Teh, Char Kway Teow, Chili Crab and Hainanese Chicken Rice."
27,258-000,Sri Lankan,"Sri Lankan Food should be applied to restaurants serving food from Sri Lanka.  The food shows a large influence from South India and closely resembles Kerala cuisine. Boiled or steamed rice served with curry is common.  Side dishes include pickles, chuttneys, and sambols - made of ground coconut, chili peppers, Maldive fish, and lime juice. Well-known dishes include kiribath, mallung, kottu, and hoppers."
28,259-000,Tibetan,"Tibetan Food should be applied to restaurants serving food from Tibet, which has influences from China, India, and Nepal. It is known for its use of noodles, goat, yak, mutton, dumplings, Tibetan cheeses (often from yak or goat milk), butter (also from animals adapted to the Tibetan climate) and soups. Dishes include Sha Phaley, Balep korkun, Tingmo, Thenthuk, and Shab Tra."
103,300-000,European,"European Food is a combination of the cuisines of Europe and other Western countries, as well as Russia."
29,301-000,French,"French food should be applied to restaurants serving food from France. French food varies per region. Typical French dishes are blanquette de veau, canard au sang, coq au vin, oysters, pot-au-feu, steak au poivre, and soufflé. French Food should be applied to the French creperies."
29,301-027,French-Alsatian,"French food from the Alsace region of France, which has Germanic culinary traditions. Traditional cuisine is baeckeoffe, flammekueche, chorcrote, and fleischnacka."
29,301-028,French-Auvergnate,"French food from the Auvergne area of France consisting of hearty peasant fare such as cheese, pork, lamb, and beef dishes."
29,301-029,French-Basque,"French food from the Basque area of France with a Spanish influence, consisting of freshwater fish, salt cod, fresh and cured meats, and many vegetables and legumes."
29,301-030,French-Corse,"French food from the region of Corsica consisting of wild boar, seafood and river fish, such as trout, cheeses from goats or sheep milk, and chestnuts."
29,301-031,French-Lyonnaise,"French food from the region of Lyon in France consisting of sausages, duck pate or roast pork. The cuisine is fatty and oriented around meat."
29,301-032,French-Provencale,"French food from the Provence region of France consisting of olives and olive oil, garlic, sardines, rockfish, sea urchins, octopus, lamb, goat, chickpeas, grapes, peaches, apricots, strawberries, cherries, and Cavaillon melons."
29,301-033,French-Sud-ouest,"French food from the Sud-Ouest region of France such as roasted Guinea fowl, quail, eggs, and potatoes."
30,302-000,German,"German Food should be applied to restaurants serving food from Germany. German food varies per region. Typical German dishes are hasenpfeffer, königsberger klopse, sauerbraten, spätzle , schnitzel, kartoffelsalat, rindsroulade."
31,303-000,Greek,"Greek Food should be applied to restaurants serving food from Greece. The most important ingredients are tomato, aubergine, potato, green beans, lamb, feta. Some typical Greek dishes are moussaka, souvlaki, gyros, keftedes, yemista."
32,304-000,Italian,"Italian Food should be applied to restaurants serving food from Italy. Italian food typically consists of pizza, risotto, pasta, mozzarella, antipasti, fish, lamb."
33,305-000,Irish,"Irish Food should be applied to restaurants serving food from Ireland. Traditional Irish dishes include Irish stew, soda bread, and other dishes with potatoes, cabbage or seafood."
34,306-000,Austrian,"Austrian Food should be applied to restaurants serving food from Austria. Austrian food is a combination of regional traditions highly influenced by surrounding areas like Hungarian, Czech, Italian, and Bavarian cuisine. A typical Austrian dish is gulasch."
35,307-000,Belgian,"Belgian Food should be applied to restaurants serving food from Belgium. Typical Belgian dishes are lapin à la geuze/konijn in geuze, stoemp, salade liégeoise/luikse salade, and flemish carbonades. Signature dishes are mussels and french fries."
36,308-000,British Isles,"British Isles Food should be applied to restaurants serving English, Scottish, Irish, and Welsh food. Typical British Isles foods are roast meats, fish and chips, pies, and sausages."
37,309-000,Dutch,"Dutch Food should be applied to restaurants that serve food from The Netherlands. Typical Dutch dishes are hutspot, pannekoeken, stamppot, erwtensoep."
38,310-000,Swiss,"Swiss Food should be applied to restaurants serving food from Switzerland. Some of the most well-known Swiss ingredients are cheese ( Emmentaler , Gruyère, Appenzeller) and chocolate. Note: See also Fondue Food Type. Typical Swiss dishes are cheese fondue, raclette, rösti, and quiche."
39,311-000,Spanish,"Spanish Food should be applied to restaurants serving food from Spain. Some typical Spanish ingredients are pork, potatoes, tomatoes, sofrito, garlic, onions, peppers, beans, cabbage, and mushrooms. Typical Spanish restaurants are tapas bars and churros. Typical Spanish dishes are chorizo, gazpacho, jamón serrano, paella, tortilla de patates, calamari."
39,311-034,Spanish-Tapas,Tapas should be applied to restaurants that serve a variety of small dishes or appetizers that may be combined to make a full meal. Tapas is popular in Spanish cuisine and others.
40,313-000,Portuguese,"Portuguese Food should be applied to restaurants serving food from Portugal. Portuguese Food typically consists of fish (acalhau, sardines, octopus, crabs, shrimp, lobster), cheese (queijo de castelo branco, queijo da serra da estrela). Typical Portuguese menus are alcatra, alheiras, carne de porco à alentejana, pregos, bifanas, espetada."
41,314-000,Maltese,"Maltese Food should be applied to restaurants serving food from Malta. Typical Maltese dishes are aljotta (fish soup), fenek (rabbit), gbejniet (cheese), lampuka (dolphin), pastizzi, ravjul (ravioli)."
42,315-000,Sicilian,"Sicilian Food is based on Italian cuisine and has Spanish, Greek, and Arab influences. Appetizers include caponata, a type of potato and cheese pie, pasta is spaghetti prepared with sea urchin and manicotti, main dishes are meat or fish based."
104,350-000,Scandinavian,"Scandinavian Food should be applied to restaurants serving food from the Scandinavian countries of Denmark, Norway, Sweden, and Iceland. Typical Danish ingredients are cereal, pork, seafood, apples, plums, carrots, potatoes, onions, beer, bread, blue cheese, feta. Typical Danish menus are hakkebøf, fridakeller, jomfruhummer, laks, rogn, bliksemad, flæskesteg. Typical Norwegian dishes are pizza, pasta, meatballs, smoked salmon, gravlaks, rakfish. Typical Swedish dishes are köttbullar, inlagd sill, gravad lax, kroppkakor, blodpudding, isterband, janssons frestelse, lutfisk. Note: See also Finnish Food."
43,351-000,Finnish,"Finnish Food should be applied to restaurants serving food from Finland. Finnish food is based on fish, meat, various vegetables, and mushrooms. Typical Finnish dishes are cabbage rolls, pickled herring, smoked fish, lihapullat, mustamakkara, pepu."
44,352-000,Swedish,"Swedish cuisine has traditionally been regions, with difference in dishes from the North and South of Sweden. Northern cuisine includes meat such as reindeer and game dishes, while the South uses a lot of fresh vegetables."
45,353-000,Norwegian,"Norwegian Food is based on food readily available in Norway, traditionally with a focus on game and fish, but is now influenced by western Europe."
46,354-000,Danish,"Danish Food consists of ground meats and fish dishes, as well as roast pork and poached cod."
105,370-000,East European,"East European Food should be applied to restaurants that serve food from East European countries like Moldova, Romania, Slovakia. Typical Romanian dishes are mamaliga, carnati, caltabosi, cozonac, pasca, sarmale, snitel, zacuzca. Note: See also Bohemian Food, Hungarian Food, Polish Food, and Russian Food for related Food Types."
47,371-000,Hungarian,"Hungarian Food should be applied to restaurants serving food from Hungary which is often spicy using paprika, black pepper, and onions. Thick vegetable dishes, cold fruit soups, and meat dishes are common. Typical Hungarian dishes are halászlé, palacsinta, hurka, chicken paprikash, and galuska."
48,372-000,Mediterranean,"Mediterranean cuisine is found in countries adjacent to the Mediterranean Sea. Fruit, vegetables, poultry, seafood, grains, beans, and pasta are the general fare, and cooking is usually accomplished using olive oil."
49,373-000,Baltic,"Baltic Food should be applied to restaurants serving food from Estonia, Latvia, and Lithuania which is generally simple and satisfying with few sauces or excessive seasoning. Breads and soups are mainstays."
50,374-000,Belorussian,"Belorussian Food should be applied to restaurants serving food from Belorussia which typically consists of soups, such as borsch and ukha, stews, sausages, and pies cooked without heavy seasonings."
51,375-000,Ukrainian,"Apply Ukrainian Food to restaurants that serve food from Ukraine. Ukrainian Food typically consists of pork, beetroot, vegetables, and potatoes. Typical Ukrainian menus are Tyrohy, Borshch, Varenyky, Holuptsi, and Oseledets."
52,376-000,Polish,"Polish Food should be applied to restaurants serving food from Poland. Polish food includes meat of all kinds, various noodles and dumplings. Typical Polish dishes are zupa grzybowa, pierogi, bigos, kotlet schabowy, placki kartoflane."
53,377-000,Russian,"Russian Food should be applied to restaurants serving food from Russia. Russian food contains soups (such as cold soup, noodle soup, cabbage soup, fish soup), pork, poultry, zharkoye, vegetables (such as carrots and sauerkraut)."
54,378-000,Bohemian,Bohemian Food should be applied to restaurants with a Czech name where it is not possible to define a more detailed Food Type.
55,379-000,Balkan,"Balkan Food should be applied to restaurants that serve food from Balkan countries such as Albania, Bosnia, Bulgaria, Montenegro, Macedonia, Former Yugoslav Republic of, etc. Note: See also Hungarian Food for related Food Type."
56,380-000,Caucasian,"Caucasian Food should be applied to restaurants that serve food from the Caucasus Mountains area (Georgia, Armenia, Azerbaijan, etc.)."
57,381-000,Romanian,"Typical Romanian dishes are mamaliga, carnati, caltabosi, cozonac, pasca, sarmale, snitel, zacuzca."
58,382-000,Armenian,"Armenian Food should be applied to restaurants serving food from Armenia or the Armenia diaspora. The preparation of meat, fish, and vegetable dishes require stuffing, frothing, and puréeing. Lamb, eggplant, yogurt, and bread (lavash) are basic features. Cracked wheat (burghul) is preferred over maize and rice. Typical dishes include the dzhash, khorovatz (also known as shish kabob), and harissa."
106,400-000,South American,"South American Food should be applied to restaurants that serve food from South American countries such as Colombia and Venezuela. Some of the most important South American ingredients are beef, lamb, goat, wheat, corn, milk, beans, soybeans. Note: See also Argentinean Food, Chilean Food, Latin American Food, and Surinamese Food for related Food Types."
59,401-000,Surinamese,"Surinamese Food should be applied to restaurants serving food from Surinam. Typical Surinamese dishes are pinda soep met tom-tom (peanut soup), pom (chicken), fiadoe (pastry), alu tarkari (potatoes)."
60,402-000,Venezuelan,"Apply Venezuelan Food to restaurants that serve food from Venezuela. Venezuelan Food typically consists of beef, wheat flour, and corn. Typical Venezuelan menus are Pabellon, Criollo, Arepas, Hallacas, Cachapas, Tequefios, and Empanadas."
61,403-000,Latin American,"Latin American food should be applied to restaurants that serve food from Latin American countries like Costa Rica, Nicaragua, El Salvador, Guatemala, Panama. Note: See also Cajun/Caribbean Food, South American Food, and Surinamese Food for related Food Types."
62,404-000,Argentinean,"Argentinean Food should be applied to restaurants serving food from Argentina which typically has a strong resemblance to Italian, Spanish, and French cuisine, but with an abundance of meat, especially beef and wheat products. Typical Argentinean dishes are barbecued beef, dulce de leche, and empanadas."
63,405-000,Chilean,"Chilean Food should be applied to restaurants serving food from Chile which is a blend of Amerindian and European influences and which includes seafood, empanadas, and others."
64,406-000,Brazilian,Brazilian Food should be applied to restaurants serving food from Brazil. Brazilian food varies greatly by region and is influenced by Amerindian and Portuguese food.
64,406-035,Brazilian-Baiana,"Brazilian food from the region of Bahia using spiced seasoning based on dende oil, coconut milk, ginger, and various kinds of pepper."
64,406-036,Brazilian-Capixaba,Brazilian food from the region of Espirito Santo includes toria capixaha which is traditionally served in clay pots.
64,406-037,Brazilian-Mineira,"Brazilian food from the region of Minas Gerais which uses lemon juice and cachaca marinade and features urucum, acafrao, cominho sauces."
64,406-038,Brazilian-Bakery,"Brazilian bakery fare such as honey cake, roll cake, pastries, banana sweets, etc."
65,407-000,Peruvian,"Peruvian Food is influenced by Spain, China, Italy, West Africa, and Japan. Traditional staples are corn, potatoes, and chili peppers. Traditional foods include quinoa, kaniwa, chili peppers, and various tubers."
107,500-000,African,"African Food should be applied to restaurants that serve food from African countries such as South Africa, Ethiopia, Egypt if a more specific food type is not available."
66,501-000,Moroccan,"Moroccan Food should be applied to restaurants serving food from Morocco. The cuisine of Morocco is a mix of Arab, Berber, Moorish, Middle Eastern, Mediterranean African, Iberian, and Jewish influences and is characterized by an extensive use of spices on dishes consisting of fruit, vegetables, and meats."
67,502-000,Egyptian,Egyptian Food consists of legumes and vegetables as staples.
68,503-000,Ethiopian,"Ethiopian Food consists of spicy vegetable and meat dishes, usually in the form of a thick stew served on top of a sourdough flatbread."
69,504-000,Seychellois,"Seychellois Food should be applied to restaurants serving food from the Republic of Seychelles.  The country's cuisine has been influenced by African, British, French, Indian and Chinese cuisines. The use of spices such as ginger, lemongrass, coriander and tamarind are a significant component. Staple foods include many fish, seafood and shellfish dishes, often accompanied with rice. Fish dishes are cooked in myriad ways, such as steamed, grilled, wrapped in banana leaves, baked, salted and smoked.  Curry dishes with rice are also a significant."
70,505-000,South African,"South African Food should be applied to restaurants serving food from South Africa. The cuisine, sometimes called 'rainbow cuisine' can be generalized as cookery practiced by indigenous people of Africa, or cookery that emerged from European people of Dutch, German, French, Italian, Greek and British. It possesses many characteristics of Indonesia and Portuguese Mozambique cooking styles. Popular dishes include Biltong, Grilled game, Sosaties, Bobotie and Boerewors."
108,506-000,North African,"North African Food should be applied to restaurants serving food from the countries of Algeria, Libya, Morocco, and Tunisia. The most common staple foods are meat, seafood, goat, lamb, beef, dates, almonds, olives, various vegetables and fruit.  Most dishes are spiced, especially with cumin, ginger, paprika, cinnamon and saffron. Fresh peppermint, parsley, or coriander are also very common.  The best-known North African/Berber dish abroad is surely Couscous, Pastilla and The Tajine."
109,600-000,Oceanic,"Oceanic Food should be applied to restaurants serving food from the countries of Australia, New Zealand, and Tasmania, and also cuisines from many other islands or island groups throughout Oceania and their subtypes."
110,800-056,Steak House,Steak House should be applied to restaurants that identify themselves as steak houses. Note: See also Barbecue and Grill for related Food Types.
111,800-057,Pizza,Pizza should be applied to restaurants which specialize in pizza. These may be chain restaurants like Pizza Hut or they may be local establishments.
112,800-058,Snacks & Beverages,Snacks and Beverages should be applied to establishments that do not serve full meals.
113,800-059,Hot Dogs,Restaurants specializing in hot dogs.
114,800-060,Sandwich,"Sandwich should be applied to restaurants that mainly serve sandwiches. These may be chain restaurants like Subway, but also may be local establishments."
115,800-061,Breakfast,"Breakfast should be applied to restaurants that serve typical breakfast foods such as pancakes, waffles, eggs, sausages, and bacon."
116,800-062,Chicken,Chicken should be applied to restaurants whose main dish is chicken.
117,800-063,Ice Cream,Ice Cream should be applied to restaurants specializing in ice cream treats. They may or may not serve lunch items such as burgers or sandwiches.
